sweep,knob_value,scenario,coord_decision,baseline_decision,result,coord_composite,baseline_composite
floor,0.0,Healthy,ALLOW,ALLOW,agree_allow,0.9642,0.9646
floor,0.0,A_session_hijack,ISOLATE,ALLOW,COVERAGE_GAP,0.5892,0.7106
floor,0.0,B_mild_drift,ALLOW,ALLOW,agree_allow,0.8458,0.9004
floor,0.0,B_severe_drift,ALLOW,ALLOW,agree_allow,0.8025,0.8809
floor,0.0,C_supply_chain,ISOLATE,ALLOW,COVERAGE_GAP,0.4642,0.7149
floor,0.0,D_iiot_lateral,ALLOW,ALLOW,agree_allow,0.7083,0.8248
floor,0.0,E_identity_compromise,ALLOW,ISOLATE,REVERSE_GAP,0.705,0.4603
floor,0.05,Healthy,ALLOW,ALLOW,agree_allow,0.9642,0.9646
floor,0.05,A_session_hijack,ISOLATE,ALLOW,COVERAGE_GAP,0.5892,0.7106
floor,0.05,B_mild_drift,ALLOW,ALLOW,agree_allow,0.8458,0.9004
floor,0.05,B_severe_drift,ALLOW,ALLOW,agree_allow,0.8025,0.8809
floor,0.05,C_supply_chain,ISOLATE,ALLOW,COVERAGE_GAP,0.4642,0.7149
floor,0.05,D_iiot_lateral,ALLOW,ALLOW,agree_allow,0.7083,0.8248
floor,0.05,E_identity_compromise,ALLOW,ISOLATE,REVERSE_GAP,0.705,0.4603
floor,0.1,Healthy,ALLOW,ALLOW,agree_allow,0.9642,0.9646
floor,0.1,A_session_hijack,ISOLATE,ALLOW,COVERAGE_GAP,0.5892,0.7106
floor,0.1,B_mild_drift,ALLOW,ALLOW,agree_allow,0.8458,0.9004
floor,0.1,B_severe_drift,ALLOW,ALLOW,agree_allow,0.8025,0.8809
floor,0.1,C_supply_chain,ISOLATE,ALLOW,COVERAGE_GAP,0.4642,0.7149
floor,0.1,D_iiot_lateral,ALLOW,ALLOW,agree_allow,0.7083,0.8248
floor,0.1,E_identity_compromise,ALLOW,ISOLATE,REVERSE_GAP,0.705,0.4603
floor,0.15,Healthy,ALLOW,ALLOW,agree_allow,0.9642,0.9646
floor,0.15,A_session_hijack,ISOLATE,ALLOW,COVERAGE_GAP,0.5892,0.7106
floor,0.15,B_mild_drift,ALLOW,ALLOW,agree_allow,0.8458,0.9004
floor,0.15,B_severe_drift,ALLOW,ALLOW,agree_allow,0.8025,0.8809
floor,0.15,C_supply_chain,ISOLATE,ALLOW,COVERAGE_GAP,0.4642,0.7149
floor,0.15,D_iiot_lateral,ALLOW,ALLOW,agree_allow,0.7083,0.8248
floor,0.15,E_identity_compromise,ALLOW,ISOLATE,REVERSE_GAP,0.705,0.4603
floor,0.2,Healthy,ALLOW,ALLOW,agree_allow,0.9642,0.9646
floor,0.2,A_session_hijack,ISOLATE,ALLOW,COVERAGE_GAP,0.5892,0.7106
floor,0.2,B_mild_drift,ALLOW,ALLOW,agree_allow,0.8458,0.9004
floor,0.2,B_severe_drift,ALLOW,ALLOW,agree_allow,0.8025,0.8809
