scenario,evaluation_point,S_id,S_dev,S_net,coord_composite,coord_decision,baseline_composite,baseline_decision
device_posture_drift,0,0.945,0.9075,0.86,0.9042,ALLOW,0.9266,ALLOW
device_posture_drift,1,0.945,0.885,0.86,0.8967,ALLOW,0.9232,ALLOW
device_posture_drift,2,0.945,0.8625,0.86,0.8892,ALLOW,0.9199,ALLOW
device_posture_drift,3,0.945,0.84,0.86,0.8817,ALLOW,0.9165,ALLOW
device_posture_drift,4,0.945,0.8175,0.86,0.8742,ALLOW,0.9131,ALLOW
device_posture_drift,5,0.945,0.795,0.86,0.8667,ALLOW,0.9098,ALLOW
device_posture_drift,6,0.945,0.7725,0.86,0.8592,ALLOW,0.9064,ALLOW
device_posture_drift,7,0.945,0.75,0.86,0.8517,ALLOW,0.903,ALLOW
device_posture_drift,8,0.945,0.7275,0.86,0.8442,ALLOW,0.8996,ALLOW
device_posture_drift,9,0.945,0.705,0.86,0.8367,ALLOW,0.8962,ALLOW
device_posture_drift,10,0.945,0.6825,0.86,0.8292,ALLOW,0.8929,ALLOW
identity_drift,0,0.945,0.945,0.9,0.93,ALLOW,0.9382,ALLOW
identity_drift,1,0.8895,0.945,0.9,0.9115,ALLOW,0.8994,ALLOW
identity_drift,2,0.834,0.945,0.9,0.893,ALLOW,0.8606,ALLOW
identity_drift,3,0.7785,0.945,0.9,0.8745,ALLOW,0.8217,ALLOW
identity_drift,4,0.723,0.945,0.9,0.856,ALLOW,0.7829,ALLOW
identity_drift,5,0.6675,0.945,0.9,0.8375,ALLOW,0.744,ALLOW
identity_drift,6,0.612,0.945,0.9,0.819,ALLOW,0.7051,ALLOW
identity_drift,7,0.5565,0.945,0.9,0.8005,ALLOW,0.6663,ISOLATE
identity_drift,8,0.501,0.945,0.9,0.782,ALLOW,0.6274,ISOLATE
identity_drift,9,0.4455,0.945,0.9,0.7635,ALLOW,0.5886,ISOLATE
identity_drift,10,0.39,0.945,0.9,0.745,ISOLATE,0.5498,ISOLATE
single_signal_identity_drift,0,0.945,0.945,0.9,0.93,ALLOW,0.9382,ALLOW
single_signal_identity_drift,1,0.9165,0.945,0.9,0.9205,ALLOW,0.9183,ALLOW
single_signal_identity_drift,2,0.888,0.945,0.9,0.911,ALLOW,0.8984,ALLOW
single_signal_identity_drift,3,0.8595,0.945,0.9,0.9015,ALLOW,0.8784,ALLOW
single_signal_identity_drift,4,0.831,0.945,0.9,0.892,ALLOW,0.8584,ALLOW
single_signal_identity_drift,5,0.8025,0.945,0.9,0.8825,ALLOW,0.8385,ALLOW
single_signal_identity_drift,6,0.774,0.945,0.9,0.873,ALLOW,0.8186,ALLOW
single_signal_identity_drift,7,0.7455,0.945,0.9,0.8635,ALLOW,0.7986,ALLOW
single_signal_identity_drift,8,0.717,0.945,0.9,0.854,ALLOW,0.7787,ALLOW
single_signal_identity_drift,9,0.6885,0.945,0.9,0.8445,ALLOW,0.7587,ALLOW
single_signal_identity_drift,10,0.66,0.945,0.9,0.835,ALLOW,0.7388,ALLOW
