scenario,depth,shape,coord_isolate_point,baseline_isolate_point,outcome
device_posture_drift,0.3,linear,,,neither
device_posture_drift,0.3,step3,,,neither
device_posture_drift,0.3,step6,,,neither
device_posture_drift,0.3,step9,,,neither
device_posture_drift,0.3,exp,,,neither
device_posture_drift,0.2,linear,,,neither
device_posture_drift,0.2,step3,,,neither
device_posture_drift,0.2,step6,,,neither
device_posture_drift,0.2,step9,,,neither
device_posture_drift,0.2,exp,,,neither
device_posture_drift,0.1,linear,,,neither
device_posture_drift,0.1,step3,,,neither
device_posture_drift,0.1,step6,,,neither
device_posture_drift,0.1,step9,,,neither
device_posture_drift,0.1,exp,,,neither
device_posture_drift,0.05,linear,,,neither
device_posture_drift,0.05,step3,,,neither
device_posture_drift,0.05,step6,,,neither
device_posture_drift,0.05,step9,,,neither
device_posture_drift,0.05,exp,,,neither
device_posture_drift,0.0,linear,,,neither
device_posture_drift,0.0,step3,,,neither
device_posture_drift,0.0,step6,,,neither
device_posture_drift,0.0,step9,,,neither
device_posture_drift,0.0,exp,,,neither
identity_drift,0.3,linear,,9,baseline_first_or_tie
identity_drift,0.3,step3,,3,baseline_first_or_tie
identity_drift,0.3,step6,,6,baseline_first_or_tie
identity_drift,0.3,step9,,9,baseline_first_or_tie
identity_drift,0.3,exp,,6,baseline_first_or_tie
identity_drift,0.2,linear,,8,baseline_first_or_tie
identity_drift,0.2,step3,,3,baseline_first_or_tie
identity_drift,0.2,step6,,6,baseline_first_or_tie
identity_drift,0.2,step9,,9,baseline_first_or_tie
identity_drift,0.2,exp,,4,baseline_first_or_tie
identity_drift,0.1,linear,,7,baseline_first_or_tie
identity_drift,0.1,step3,,3,baseline_first_or_tie
identity_drift,0.1,step6,,6,baseline_first_or_tie
identity_drift,0.1,step9,,9,baseline_first_or_tie
identity_drift,0.1,exp,,4,baseline_first_or_tie
identity_drift,0.05,linear,,7,baseline_first_or_tie
identity_drift,0.05,step3,,3,baseline_first_or_tie
identity_drift,0.05,step6,,6,baseline_first_or_tie
identity_drift,0.05,step9,,9,baseline_first_or_tie
identity_drift,0.05,exp,,4,baseline_first_or_tie
identity_drift,0.0,linear,10,7,baseline_first_or_tie
identity_drift,0.0,step3,3,3,baseline_first_or_tie
identity_drift,0.0,step6,6,6,baseline_first_or_tie
identity_drift,0.0,step9,9,9,baseline_first_or_tie
identity_drift,0.0,exp,10,3,baseline_first_or_tie
